Source Family, Source Genus, Source Subfam, Target Family, Target Genus, Target Subfam, Target Lat, Target Long, Target wals code, wals values ++

"Austronesian","Sulawesi",,"Austronesian","Oceanic","Eastern Malayo-Polynesian",-8.95,161,kwa,2,2,3,1,1,1,1,2,,,,1,1,1,6,8,1,,1,1,,,,,,,,,,,,,,,,7,4,4,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,1,1,,,,,,5,4,2,2,,,,,,,,,2,,1,2,1,2,,2,2,1,,,,,,,,,,,,4,,4,,,,4,,,,1,,,,,,,,2,2,,,,,,1,1,2,,,,2,,,,,1,2,,,,,,,,,,,,,,,,1,,,,1,4,4,2,3,,2,,,,4,1,7,4,,,,,,,,,,,,,,
"Austronesian","Sulawesi",,"Austronesian","Oceanic","Eastern Malayo-Polynesian",5.3,163,kos,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,5,,1,4,,,,3,1,1,6,2,,,3,1,1,9,,,,3,,2,,,,,,,,,,,,,5,,,,,,,,,,,,,2,,1,2,1,2,2,2,2,2,1,,1,,,,,1,1,2,1,4,4,4,,,2,,5,2,2,,,1,,,,,,2,2,,,,1,,,,,,,,,,,,,1,2,,,,,,,,,,,2,,,,,1,,,,1,4,4,2,3,,2,,,,4,1,7,4,,,,,,,,,,,,,,
"Austronesian","Sulawesi",,"Austronesian","Malayic",,0,106,ind,3,2,3,4,2,1,1,2,1,2,,1,3,1,6,8,1,1,1,1,2,5,1,3,4,4,4,1,2,2,1,1,1,1,1,5,4,4,3,2,4,5,,1,2,1,1,6,4,2,1,2,1,1,9,3,5,1,2,3,4,2,1,1,1,5,3,2,1,2,4,2,2,2,5,2,4,2,1,3,3,1,1,4,5,1,2,,1,2,1,2,2,2,2,1,1,,1,,,,,1,5,3,1,4,4,4,1,1,2,1,3,2,1,4,2,1,3,4,2,4,1,2,4,1,7,1,1,3,1,1,2,,4,4,1,1,1,1,1,2,2,,1,,,,,1,1,1,2,2,,,,,1,,,,1,4,4,2,3,,2,,,,4,1,7,4,,,,,,,,,,,,,,
"Austronesian","Sulawesi",,"Austronesian","Oceanic","Eastern Malayo-Polynesian",19.5833333333,-155.5,haw,1,2,1,1,1,1,1,2,,,,1,1,1,6,8,2,1,3,1,,,,,,,,,1,1,,,1,1,1,7,,5,3,1,1,,,,3,1,3,,1,,,,,,9,3,5,3,1,,4,,,,,,,,1,1,4,2,4,,5,2,1,,2,3,2,,,,,,3,,2,2,,2,2,2,1,1,1,,1,,,,,2,,2,1,4,4,4,,,,5,,,,,,,,,,,,2,2,,,,,,,,,,,,,,,,,1,1,3,,,,,,,,,,3,,,,,1,,,,1,4,4,9,3,,,,,,,,,,,,,,,,,,1,,1,6,4,
"Austronesian","Sulawesi",,"Austronesian","Oceanic","Eastern Malayo-Polynesian",-18.8333333333,169.166666667,err,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2,,,1,1,1,7,6,4,,,1,,,,,,4,6,,2,,3,,,,,,4,1,,,,,,,,,,1,,,,,,1,1,4,,,,,,,,,,2,,1,2,,2,2,2,2,2,1,,1,,,,,,1,2,,4,4,4,,,2,2,5,2,2,3,,2,,,,,,,1,,,,1,,,,,,,,1,3,1,,1,,,,,,,,,,,,,,,,,,3,,,,2,4,4,20,,,5,,,,4,2,7,4,,,,,,,,,,,,,,
"Austronesian","Sulawesi",,"Austronesian","Chamorro",,13.45,144.75,cha,3,2,3,2,2,1,1,2,1,2,,1,2,1,1,4,3,4,1,1,7,5,2,4,2,1,5,2,1,1,1,3,1,1,1,7,2,4,1,1,,5,,1,3,1,1,6,1,,1,3,1,1,,,6,7,1,,2,2,3,1,6,2,5,2,1,1,4,2,4,,,2,4,2,1,3,2,2,4,1,5,1,3,,2,2,,2,2,1,1,1,1,,1,,,,,1,1,3,1,4,4,3,1,4,3,,2,2,1,3,2,1,2,2,1,4,2,2,2,1,7,2,1,,1,1,1,,4,4,1,,1,1,,1,2,,1,,,,,1,1,1,2,1,,,,,1,,,,1,4,4,9,3,,,,,,,,,,,,,,,,,,1,,1,6,4,
"Austronesian","Sulawesi",,"Austronesian","Sumatra",,3.25,98.25,bkr,2,3,2,2,2,1,1,2,1,2,,1,2,1,1,3,7,,1,1,,,,,,,,,2,,1,3,1,1,1,5,,4,,3,4,5,,1,,,,6,,,2,2,1,1,9,,,1,2,2,2,,,,5,5,,2,1,,,,,2,4,2,1,2,1,3,3,1,1,,,,7,3,3,2,1,2,2,2,2,1,1,,1,,,,,1,3,1,1,4,4,4,1,1,2,6,3,2,1,,,2,3,4,,,2,2,4,1,7,1,1,,,,,,4,5,,1,1,1,1,,,,1,,,,,,,,,,,,,,1,,,,1,4,4,16,3,,13,10,,,4,1,7,4,,,,,,,,,14,,1,6,4,
"Austronesian","Sulawesi",,"Austronesian","Sulawesi",,-5,122.5,mna,,,,,,,,,,,,,,,6,8,1,1,,,,,,,,,,,4,,,,,,,2,,4,3,,,,,,,,,6,,,,2,,,9,,,,,,2,,,,,,,,,,,,,1,1,2,4,,2,3,3,,,,,,2,,2,2,,2,2,2,2,1,1,,1,,,,,2,6,2,5,4,4,4,,,2,2,5,2,2,,,2,,,,,,2,2,,,,6,,,,,3,4,4,,1,1,1,1,,,,,,,,,,,,,,,,,,1,,,,1,4,4,2,3,,2,,,,4,1,7,4,,,,,,,,,,,,,,
"Austronesian","Sulawesi",,"Austronesian","Malayic",,5.5,95.5,ace,,,,,,,,,,,,,,,7,8,5,1,,,,,,,1,1,1,2,1,,,,,,,9,1,,,5,5,,,,3,1,,6,,1,,2,,,9,,,,,,4,,,,,,,2,1,,,,,5,5,2,,,2,1,2,,,,,,7,,3,3,6,2,2,2,2,1,1,,1,,,,,3,5,3,1,5,5,5,,,4,,5,5,2,4,,2,,,,,,2,,,,1,1,3,1,1,2,,4,4,1,1,1,1,1,,,,,,,,,1,1,1,1,2,,,,,1,,,,1,4,4,,,,,,,,,,,,,,,,,,,,,,,,,
"Austronesian","Sulawesi",,"Austronesian","Sumatra",,2.5,99,bto,2,2,3,2,2,1,1,2,,,,1,,1,6,8,1,1,1,1,,,,,,,,,4,,,,,,,7,,,,5,5,,,,,,,,2,,,,,,9,,,,,,2,,,,,,,,,,,,,,,,,,,3,,,,,,,4,,2,2,1,2,2,2,2,3,1,,1,,,,,1,,2,1,4,4,4,,,,,,,,,,,,,,,,,2,,,,,3,1,1,1,4,,,,,,,,,,,,,,,,,,,,,,,,,1,,,,1,4,4,12,3,,,,,,,,,,,,,,,,,,4,,1,6,4,
